mean_neighbors,total_edges,largest_comp,n_components,euler,PC1,PC2,kappa
1.0,2,2,2,3,0.8121555,1.3019826,56.14882289876607
1.0,2,2,2,4,-3.43703,-0.6334959,56.44276319277162
0.6666666666666666,1,2,2,5,-0.37909254,1.2821854,56.75808624019894
0.5,1,2,3,5,-2.9296837,-0.18202087,57.03774919151263
1.0,2,3,2,4,-7.730529,-1.0264937,57.332248773727216
0.0,0,1,3,5,0.5739911,1.0433842,57.63361192312073
0.5,1,2,3,4,-5.771596,-0.6646174,57.92824574925764
0.0,0,1,3,7,-1.8539281,0.20601182,58.20254757504645
1.6666666666666667,5,6,1,-2,-4.8004394,-1.2167643,58.49151834309129
0.0,0,1,3,9,-6.3378787,-0.04817214,58.80147934645915
0.0,0,1,4,8,0.56880397,1.5041585,59.0790907927079
0.0,0,1,3,8,-0.09495531,0.91645724,59.372156985362096
0.6666666666666666,1,2,2,3,-3.6267319,0.4713224,59.67638482190033
0.6666666666666666,1,2,2,6,-1.0999907,0.7880611,59.95380813478613
0.0,0,1,3,9,-9.790542,-1.0848646,60.25729962438318
0.5,1,2,3,4,1.2344224,1.5998163,60.559212035093694
0.5,1,2,3,3,-3.5813959,-0.019881887,60.845697174293626
0.0,0,1,3,5,-1.5046365,1.2161183,61.089734872396285
0.0,0,1,3,8,-2.0286746,0.5833068,61.408020588503874
0.5,1,2,3,6,-2.3248534,0.23739915,61.70835701756904
0.6666666666666666,1,2,2,6,-6.7234807,-0.8683076,61.9931455281429
0.0,0,1,3,6,-6.571236,-0.99856997,62.30481440814649
0.0,0,1,3,7,1.86035,1.5119252,62.596257022300335
0.0,0,1,3,5,-1.7871644,1.4530349,62.885849816729895
0.0,0,1,3,8,-4.491463,-0.185282,63.221804965190614
0.6666666666666666,1,2,2,3,-1.5493945,0.6095659,63.47142093902983
1.0,2,2,2,4,-1.092254,0.6059548,63.754248436231514
0.0,0,1,3,6,-6.2024937,-0.81320345,63.96625900130111
0.0,0,1,3,8,-11.206889,-1.6941518,64.57171289142045
0.0,0,1,3,10,-10.992042,-1.8269745,64.66166017385898
1.6,4,4,2,3,-2.6677198,-0.18812592,64.93718340368886
0.6666666666666666,1,2,2,8,-4.6418624,-0.01058126,65.23534587658864
0.6666666666666666,1,2,2,6,1.1786627,1.9991627,65.52704714689212
1.0,2,2,2,2,-0.47388232,1.1111763,65.75172095742018
0.0,0,1,3,4,0.8160355,1.6086733,66.12134488462182
0.6666666666666666,1,2,2,3,-5.660471,-0.5295329,66.40475166318598
0.0,0,1,3,5,2.4820228,1.5760158,66.70565784064675
1.3333333333333333,2,3,1,4,-9.624313,-1.5395287,66.94655498156337
0.0,0,1,3,6,-4.3991694,0.16879733,67.2504267103179
0.0,0,1,2,4,-2.5781574,0.6868386,67.54467831262309
